Key,Type,Desc,English,Polish,Spanish,Portuguese
Game/ActualLoanRate,Text,,<style=Negative>Actual Monthly Rate:</style>,<style=Negative>Aktualna Rata Pożyczki:</style>,,
Game/Additives,Text,,Additives,Dodatki,Aditivos,Aditivos
Game/All,Text,,All,Wszystkie,Todo,
Game/Amount,Text,,Amount,Kwota,,
Game/Appearance,Text,,Appearance,Wygląd,Apariencia,Aparência
Game/Aroma,Text,,Aroma,Aromat,Aroma,Aroma
Game/AutoSave,Text,,AutoSave,AutoZapis,AutoGuardar,
Game/BugReport,Text,,"Before reporting a bug, make sure you have the current version of the game (update the game). Enter the description of your error + your email in the fields below (optional, this will help fix the error). The reported error will be accompanied by a screenshot (photo) of the game + anonymous information about your hardware and a save of your game. The best testing is testing on production:}","Przed zgłoszeniem błędu, upewnij się, że masz aktualną wersję gry (zaktualizuj grę). W polach poniżej wprowadź opis swojego błędu + swój e-mail (opcjonalnie, ułatwi to naprawienie błędu). Do zgłoszonego błędu zostanie dołączony screenshot (zdjęcie) z gry + anonimowe informacje na temat Twojego sprzętu i zapis twojej gry. Najlepsze testowanie to testowanie na produkcji : }","Antes de reportar un error, asegurarse de tener la version actual del juego(Actualiza el juego). Escribe la descripcion de tu error + tu email en los campos inferiores (opcional, esto va a ayudar a arreglar el juego). El error reportado debe estar acompañado por una captura de pantalla (foto) del juego + información anonima sobre tu hardware y una copia de tu partida. El mejor testeo es testeado en producción:}",
Game/BugReportEmail,Text,,Email (optional),E-mail (opcjonalnie),Email (opcional),
Game/BugReportInputField,Text,,"Enter in this field information about the error,  what exactly happened, how it happened. You can post links. Click here.","Wprowadź w to pole informację na temat błędu,  co się dokładnie wydarzyło, jak do tego doszło. Możesz dodawać linki. Kliknij tutaj.","Escribe en este campo información sobre el error, exactamente que ocurrio, como ocurrio. Puedes publicar links. Haz click aquí.",
Game/BugReportSuccess,Text,,"An error has been reported. If the developer sobers up, he'll take care of your problem.","Błąd został zgłoszony. Jak developer wytrzeźwieje, to zajmie się twoim problemem.","Un error ha sido reportado. Si el desarrollador se despabila, se va a ocupar de tu problema.",
Game/Continue,Text,,Resume Game,Wznów Grę,Reanudar Juego,Retomar O Jogo
